StudentNumber,Suruna Value,Hurni Level,Lal Count,Volta,Ratios,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104,
1001828,doot,full,73,3 star,1.2465374,NG,9.0,8.0,9.0,NG,NG,NG,8.0,10.0,9.0,NG,NG,NG,10.0,9.0,10.0,NG,8.0,9.0,NG,10.0,NG,NG,9.0,8.0,8.0,10.0,NG,NG,9.0,
1002790,doot,full,94,5 star,1.2465374,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,NG,10.0,9.0,8.0,10.0,10.0,NG,8.0,9.0,NG,8.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,
1001505,doot,full,75,4 star,1.23839009,NG,10.0,7.0,8.0,NG,NG,NG,8.0,9.0,10.0,NG,NG,NG,9.0,9.0,9.0,NG,8.0,10.0,NG,9.0,NG,NG,10.0,9.0,9.0,10.0,NG,NG,8.0,
1001787,doot,full,69,5 star,1.23114805,NG,10.0,8.0,8.0,NG,NG,NG,8.0,10.0,9.0,NG,NG,NG,8.0,9.0,8.0,NG,9.0,10.0,NG,9.0,NG,NG,9.0,8.0,10.0,10.0,NG,NG,8.0,
1002212,doot,full,69,5 star,1.23114805,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,NG,9.0,9.0,9.0,8.0,10.0,NG,8.0,9.0,NG,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,
1001830,doot,full,75,1 star,1.23024279,NG,10.0,8.0,8.0,NG,NG,NG,8.0,10.0,10.0,NG,NG,NG,9.0,8.0,10.0,NG,9.0,9.0,NG,10.0,NG,NG,8.0,8.0,8.0,9.0,NG,NG,9.0,
1000071,doot,full,100,3 star,1.22675109,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,9.0,NG,NG,8.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000357,doot,full,62,3 star,1.22675109,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,10.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000448,nulp,full,80,3 star,1.22675109,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,8.0,NG,9.0,NG,NG,7.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000570,doot,full,84,1 star,1.22675109,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,9.0,NG,NG,10.0,NG,NG,NG,NG,9.0,10.0,NG,NG,NG,
1000767,doot,full,100,3 star,1.22675109,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,10.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,NG,8.0,NG,NG,NG,
1000913,doot,full,83,3 star,1.22675109,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,10.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000959,doot,full,84,1 star,1.22675109,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,10.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1001332,doot,medium,69,2 star,1.22675109,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1002755,doot,full,71,2 star,1.22601826,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,10.0,NG,9.0,9.0,9.0,10.0,8.0,NG,8.0,9.0,NG,9.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0,
1001193,doot,full,88,4 star,1.22345337,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1002824,doot,full,88,4 star,1.22345337,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,NG,10.0,8.0,8.0,10.0,8.0,NG,8.0,8.0,NG,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,
1001803,doot,full,68,2 star,1.22209549,NG,10.0,8.0,9.0,NG,NG,NG,8.0,10.0,9.0,NG,NG,NG,7.0,9.0,9.0,NG,9.0,9.0,NG,9.0,NG,NG,9.0,8.0,10.0,9.0,NG,NG,8.0,
1002067,doot,full,81,1 star,1.22209549,NG,10.0,8.0,8.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,9.0,10.0,9.0,NG,8.0,9.0,NG,9.0,NG,NG,9.0,8.0,9.0,10.0,NG,NG,8.0,
1002524,doot,full,96,3 star,1.22088848,9.0,10.0,8.0,8.0,8.0,7.0,10.0,8.0,10.0,10.0,NG,8.0,9.0,9.0,10.0,8.0,NG,8.0,10.0,NG,9.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,7.0,
1002835,doot,full,75,2 star,1.22088848,9.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,NG,9.0,10.0,10.0,8.0,10.0,NG,9.0,10.0,NG,10.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,
1001285,doot,full,92,1 star,1.21802183,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,10.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1002161,doot,full,92,1 star,1.21802183,NG,10.0,6.0,8.0,NG,NG,NG,9.0,10.0,10.0,NG,NG,NG,9.0,9.0,8.0,NG,9.0,10.0,NG,9.0,NG,NG,9.0,8.0,8.0,9.0,NG,NG,8.0,
1000225,doot,full,74,3 star,1.21685793,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,9.0,NG,NG,10.0,NG,NG,NG,NG,9.0,10.0,NG,NG,NG,
1000953,doot,full,74,3 star,1.21685793,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000255,doot,full,81,2 star,1.21666395,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,9.0,NG,9.0,NG,NG,10.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1001611,doot,full,81,2 star,1.21666395,NG,10.0,8.0,8.0,NG,NG,NG,8.0,10.0,10.0,NG,NG,NG,9.0,8.0,9.0,NG,9.0,9.0,NG,9.0,NG,NG,7.0,8.0,8.0,10.0,NG,NG,9.0,
1001746,doot,full,81,2 star,1.21666395,NG,10.0,8.0,7.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,9.0,9.0,10.0,NG,8.0,9.0,NG,9.0,NG,NG,8.0,9.0,8.0,9.0,NG,NG,9.0,
1002253,doot,full,88,2 star,1.21575869,10.0,10.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,NG,8.0,10.0,10.0,8.0,10.0,NG,9.0,9.0,NG,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,
1002467,doot,full,87,3 star,1.21575869,9.0,10.0,7.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,NG,8.0,9.0,9.0,10.0,9.0,NG,9.0,9.0,NG,9.0,10.0,8.0,9.0,8.0,9.0,10.0,7.0,10.0,7.0,
1001401,doot,full,74,1 star,1.21394818,NG,10.0,8.0,9.0,NG,NG,NG,8.0,9.0,10.0,NG,NG,NG,9.0,9.0,9.0,NG,7.0,9.0,NG,9.0,NG,NG,9.0,7.0,9.0,9.0,NG,NG,9.0,
1001609,doot,full,88,3 star,1.21394818,NG,10.0,7.0,8.0,NG,NG,NG,7.0,10.0,9.0,NG,NG,NG,9.0,9.0,9.0,NG,9.0,10.0,NG,9.0,NG,NG,9.0,8.0,9.0,10.0,NG,NG,7.0,
1001645,doot,full,66,2 star,1.21394818,NG,10.0,8.0,9.0,NG,NG,NG,8.0,10.0,9.0,NG,NG,NG,8.0,10.0,9.0,NG,8.0,9.0,NG,8.0,NG,NG,9.0,8.0,9.0,9.0,NG,NG,8.0,
1001850,doot,full,66,5 star,1.21394818,NG,10.0,7.0,8.0,NG,NG,NG,7.0,10.0,8.0,NG,NG,NG,9.0,9.0,9.0,NG,9.0,10.0,NG,8.0,NG,NG,9.0,8.0,9.0,10.0,NG,NG,9.0,
1001908,doot,full,84,3 star,1.21394818,NG,9.0,8.0,9.0,NG,NG,NG,9.0,8.0,10.0,NG,NG,NG,9.0,8.0,9.0,NG,9.0,9.0,NG,9.0,NG,NG,8.0,9.0,8.0,9.0,NG,NG,9.0,
1001954,doot,full,65,4 star,1.21394818,NG,9.0,8.0,8.0,NG,NG,NG,9.0,9.0,9.0,NG,NG,NG,9.0,8.0,10.0,NG,8.0,10.0,NG,10.0,NG,NG,8.0,8.0,8.0,9.0,NG,NG,9.0,
1002189,doot,full,64,4 star,1.21394818,NG,10.0,8.0,9.0,NG,NG,NG,9.0,8.0,9.0,NG,NG,NG,7.0,9.0,9.0,NG,8.0,9.0,NG,9.0,NG,NG,10.0,9.0,9.0,9.0,NG,NG,8.0,
1001093,doot,full,60,2 star,1.2131938,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,9.0,NG,NG,10.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1002736,doot,full,60,2 star,1.2131938,8.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,NG,8.0,9.0,8.0,9.0,10.0,NG,8.0,8.0,NG,8.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,
1002758,doot,full,74,5 star,1.21062891,9.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,10.0,NG,8.0,9.0,9.0,9.0,10.0,NG,8.0,9.0,NG,9.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,
1000050,doot,full,94,4 star,1.20696478,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,10.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000089,doot,high,66,5 star,1.20696478,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,10.0,9.0,NG,NG,NG,
1000300,doot,high,79,1 star,1.20696478,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,9.0,NG,NG,9.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000342,doot,high,81,4 star,1.20696478,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,10.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000543,nulp,full,61,4 star,1.20696478,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1000687,doot,high,96,2 star,1.20696478,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000778,doot,full,64,1 star,1.20696478,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,10.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000928,doot,medium,98,5 star,1.20696478,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,9.0,NG,NG,8.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1001025,doot,high,94,2 star,1.20696478,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,10.0,NG,8.0,NG,NG,10.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1001160,doot,full,76,4 star,1.20696478,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1001258,doot,high,67,3 star,1.20696478,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,7.0,NG,9.0,NG,NG,8.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1001359,doot,full,86,1 star,1.20580088,NG,10.0,7.0,8.0,NG,NG,NG,8.0,10.0,9.0,NG,NG,NG,9.0,8.0,8.0,NG,9.0,10.0,NG,9.0,NG,NG,9.0,8.0,9.0,10.0,NG,NG,7.0,
1001454,doot,full,87,5 star,1.20580088,NG,9.0,7.0,8.0,NG,NG,NG,8.0,9.0,8.0,NG,NG,NG,9.0,8.0,9.0,NG,9.0,10.0,NG,10.0,NG,NG,9.0,8.0,9.0,10.0,NG,NG,8.0,
1000614,doot,full,90,4 star,1.20549913,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,9.0,10.0,NG,NG,NG,
1002390,doot,full,97,4 star,1.20549913,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,NG,8.0,9.0,8.0,10.0,9.0,NG,9.0,8.0,NG,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,
1002654,doot,full,90,4 star,1.20549913,9.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,9.0,8.0,NG,8.0,9.0,10.0,8.0,10.0,NG,8.0,10.0,NG,10.0,10.0,9.0,10.0,9.0,7.0,10.0,8.0,8.0,8.0,
1000604,doot,full,95,5 star,1.19267467,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000854,doot,full,86,3 star,1.19267467,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,7.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1001946,doot,full,86,3 star,1.19267467,NG,10.0,10.0,8.0,NG,NG,NG,9.0,8.0,9.0,NG,NG,NG,7.0,10.0,9.0,NG,7.0,9.0,NG,8.0,NG,NG,9.0,8.0,9.0,9.0,NG,NG,7.0,
1002451,doot,full,86,3 star,1.19267467,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,NG,9.0,8.0,9.0,8.0,10.0,NG,8.0,9.0,NG,10.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,
1002702,doot,full,95,5 star,1.19267467,10.0,10.0,8.0,7.0,8.0,8.0,10.0,8.0,8.0,9.0,NG,8.0,10.0,9.0,9.0,9.0,NG,9.0,10.0,NG,10.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,
1001350,doot,high,73,4 star,1.18950627,NG,10.0,9.0,8.0,NG,NG,NG,9.0,9.0,9.0,NG,NG,NG,8.0,9.0,9.0,NG,7.0,8.0,NG,8.0,NG,NG,9.0,9.0,8.0,9.0,NG,NG,8.0,
1002026,doot,full,68,1 star,1.18950627,NG,10.0,8.0,8.0,NG,NG,NG,7.0,8.0,10.0,NG,NG,NG,9.0,9.0,8.0,NG,8.0,10.0,NG,8.0,NG,NG,9.0,9.0,9.0,10.0,NG,NG,6.0,
1000060,nulp,full,64,3 star,1.18717847,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000239,doot,full,72,4 star,1.18717847,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000260,doot,high,60,2 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,7.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000297,nulp,full,99,2 star,1.18717847,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000380,doot,high,59,3 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000471,doot,full,72,2 star,1.18717847,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,10.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000675,doot,high,63,2 star,1.18717847,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000769,nulp,full,99,2 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1000772,doot,full,77,5 star,1.18717847,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000791,doot,full,71,1 star,1.18717847,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,10.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000794,nulp,full,99,4 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000831,doot,high,61,4 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1001052,doot,full,82,1 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1001141,doot,full,69,3 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1001304,doot,full,92,5 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,6.0,NG,NG,10.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1001305,doot,high,98,1 star,1.18717847,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1001313,doot,high,69,4 star,1.18717847,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1001331,doot,high,82,3 star,1.18717847,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1001929,doot,high,89,5 star,1.18135897,NG,10.0,7.0,7.0,NG,NG,NG,8.0,10.0,9.0,NG,NG,NG,9.0,8.0,8.0,NG,8.0,10.0,NG,9.0,NG,NG,9.0,7.0,9.0,10.0,NG,NG,7.0,
1000235,nulp,full,100,5 star,1.17728532,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1001680,nulp,full,100,5 star,1.17728532,NG,8.0,9.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,NG,NG,9.0,8.0,9.0,NG,8.0,9.0,NG,9.0,NG,NG,9.0,9.0,8.0,9.0,NG,NG,8.0,
1002626,doot,high,77,1 star,1.17472043,10.0,9.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,9.0,NG,9.0,9.0,9.0,8.0,9.0,NG,8.0,9.0,NG,9.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,
1001517,nulp,full,87,1 star,1.17321167,NG,10.0,8.0,9.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,9.0,9.0,8.0,NG,8.0,9.0,NG,8.0,NG,NG,8.0,7.0,9.0,9.0,NG,NG,7.0,
1002008,doot,high,84,1 star,1.17321167,NG,10.0,7.0,8.0,NG,NG,NG,7.0,10.0,8.0,NG,NG,NG,8.0,8.0,8.0,NG,9.0,10.0,NG,9.0,NG,NG,9.0,8.0,8.0,10.0,NG,NG,7.0,
1002195,doot,high,67,4 star,1.17321167,NG,10.0,7.0,8.0,NG,NG,NG,9.0,9.0,8.0,NG,NG,NG,9.0,9.0,9.0,NG,8.0,9.0,NG,9.0,NG,NG,8.0,7.0,8.0,9.0,NG,NG,8.0,
1000034,nulp,high,97,5 star,1.16739216,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000092,doot,high,87,5 star,1.16739216,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1000285,doot,medium,91,3 star,1.16739216,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000315,doot,high,82,5 star,1.16739216,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000340,doot,high,86,5 star,1.16739216,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000421,nulp,full,74,5 star,1.16739216,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000436,nulp,full,78,4 star,1.16739216,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000520,nulp,full,91,1 star,1.16739216,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
